scaffold,start,end,mid,sites,pi_Species1,pi_Species2,dxy_Species1_Species2,Fst_Species1_Species2
1,4550001,4600000,4572837,3104,0.0258,0.1226,0.1842,0.4554
1,4600001,4650000,4624208,3894,0.0288,0.114,0.1529,0.3879
1,4650001,4700000,4675023,2736,0.0375,0.1085,0.1678,0.4113
1,4700001,4750000,4724528,3517,0.0363,0.1099,0.1635,0.4004
1,4750001,4800000,4776849,3757,0.0398,0.1174,0.1676,0.3788
1,4800001,4850000,4826144,3386,0.0408,0.1168,0.171,0.3859
1,4850001,4900000,4877357,2831,0.0337,0.1096,0.1678,0.4223
1,4900001,4950000,4927458,3151,0.0283,0.1071,0.1615,0.4335
1,4950001,5000000,4972699,2126,0.0183,0.1069,0.1804,0.5195
1,5000001,5050000,5011774,1616,0.0226,0.1268,0.1772,0.4397
1,5050001,5100000,5075100,2825,0.0324,0.11,0.1572,0.3978
1,5100001,5150000,5125032,3582,0.0341,0.1175,0.1664,0.3957
1,5150001,5200000,5174703,5452,0.0144,0.1246,0.1808,0.4857
1,5200001,5250000,5225018,3242,0.018,0.1198,0.1777,0.4779
1,5250001,5300000,5274368,4057,0.0141,0.1224,0.1869,0.5062
1,5300001,5350000,5325206,4359,0.0157,0.1232,0.1781,0.4785
1,5350001,5400000,5372485,3404,0.0394,0.1211,0.1637,0.3602
1,5400001,5450000,5423515,2951,0.0343,0.1141,0.1731,0.4211
1,5450001,5500000,5470035,2056,0.0351,0.1123,0.143,0.338
1,5500001,5550000,5525090,1710,0.0249,0.1061,0.1825,0.4997
1,5550001,5600000,5576952,3781,0.0521,0.1075,0.1712,0.3719
1,5600001,5650000,5623779,4766,0.0463,0.1146,0.1649,0.3565
1,5650001,5700000,5680723,3561,0.0402,0.1258,0.1752,0.3759
1,5700001,5750000,5723741,3654,0.0435,0.1183,0.1643,0.3548
1,5750001,5800000,5782415,1403,0.0099,0.1241,0.2012,0.5466
1,5800001,5850000,5821392,1199,0.0065,0.1467,0.2226,0.5392
1,5850001,5900000,5870598,1702,0.0052,0.1364,0.2818,0.6474
1,5900001,5950000,5932599,2632,0.0487,0.1229,0.2078,0.4294
1,5950001,6000000,5972736,1654,0.0373,0.1174,0.1388,0.3011
1,6000001,6050000,6035210,1080,0.0471,0.1252,0.1675,0.3348
1,6050001,6100000,6064240,575,0.0492,0.1098,0.1621,0.3517
1,6100001,6150000,6118808,1174,0.0252,0.1458,0.1986,0.4315
1,6150001,6200000,6187137,1100,0.0158,0.1282,0.2048,0.5202
1,6200001,6250000,6228377,2310,0.001,0.1271,0.2514,0.6475
1,6250001,6300000,6270533,2929,0.0118,0.1251,0.18,0.4928
1,6300001,6350000,6322364,1370,1.00E-04,0.1264,0.211,0.596
1,6450001,6500000,6482443,2548,0.0577,0.1229,0.1529,0.2644
1,6500001,6550000,6523321,2092,0.032,0.1278,0.156,0.346
1,6550001,6600000,6585084,1689,0,0.1241,0.1524,0.4788
1,6600001,6650000,6615959,1825,0.0028,0.1261,0.1883,0.5446
1,6650001,6700000,6664955,1492,0.0088,0.1322,0.1931,0.5133
1,6700001,6750000,6729128,2029,0.0101,0.1156,0.1944,0.5563
1,6750001,6800000,6775807,919,0.0061,0.1056,0.1806,0.576
1,6800001,6850000,6818033,1531,5.00E-04,0.1332,0.1695,0.4916
1,6850001,6900000,6874240,1926,0.003,0.1139,0.1215,0.401
1,6900001,6950000,6929641,672,6.00E-04,0.1001,0.094,0.3528
1,6950001,7000000,6980618,2250,0.0424,0.1093,0.1296,0.2735
